,M001136
2025-07-10,0.002287679023691683
2025-07-11,-0.0011627761456678867
2025-07-14,-0.00183449805812953
2025-07-15,0.007566573713049795
2025-07-16,-0.01309156961610791
2025-07-17,0.0031598624354750135
2025-07-18,0.011282220709179154
2025-07-21,-0.0026902131346935834
2025-07-22,0.0004042150347557019
2025-07-23,0.012900969048199637
2025-07-24,0.0026518795792299073
2025-07-25,-0.0010480372118038207
2025-07-28,0.0023687055013275875
2025-07-29,3.4894867453106845e-05
2025-07-30,-0.0024486128896305105
2025-07-31,-0.008814021934925722
2025-08-01,-0.0167483592104579
2025-08-04,0.002217714205137287
2025-08-05,0.010901885634195831
2025-08-06,-0.0018450484291641222
2025-08-07,0.007082847641812407
2025-08-08,-0.003960612013195249
2025-08-11,0.000612693177918045
2025-08-12,0.00098168133813923
2025-08-13,0.016710783331061546
2025-08-14,-0.0029529667786280895
2025-08-15,0.002951208810201938
2025-08-18,-0.005095144520751391
2025-08-19,0.0015403215125099035
2025-08-20,-0.0017292479116672078
2025-08-21,-0.006395303613586555
2025-08-22,0.006053499251110291
2025-08-25,0.01374872015392412
2025-08-26,-0.005734528329578315
2025-08-27,-0.0020162950797259775
2025-08-28,0.009258094088280312
2025-08-29,0.00013972097027200795
2025-09-01,0.0
2025-09-02,0.0
2025-09-03,0.007161336313144346
2025-09-04,0.002518464515613934
2025-09-05,0.012940018159478315
2025-09-08,-0.0012098062747672765
2025-09-09,-0.0005457425479651793
2025-09-10,0.0014221026266216916
2025-09-11,0.002560492953058604
2025-09-12,0.008827250835302995
2025-09-15,-0.0010028234011348499
2025-09-16,0.0008334733463290982
2025-09-17,0.0008538509247393562
2025-09-18,0.0005705483227997671
2025-09-19,0.007091476609709875
2025-09-22,-0.005503186548940573
2025-09-23,0.004901565921187572
2025-09-24,-0.0032763823204997353
2025-09-25,-0.009481129038555754
2025-09-26,0.0009695891967850722
2025-09-29,0.009290602238523175
2025-09-30,-0.004143419197346295
2025-10-01,0.002557010854064988
2025-10-02,0.010199085935954137
2025-10-03,0.002306465936419466
2025-10-06,0.00866668734620677
2025-10-07,0.00038445727028193756
2025-10-08,-0.007314374569524697
2025-10-09,0.006094262701022695
2025-10-10,-0.006484533034640892
2025-10-13,-0.016605481828927928
2025-10-14,-0.005106441628266755
2025-10-15,0.0211172141836012
2025-10-16,0.0009331968484964881
2025-10-17,-0.014593165997115212
2025-10-20,0.01280695538493925
2025-10-21,0.004073346326605029
2025-10-22,0.0017982449725314107
2025-10-23,-0.005599348027908568
2025-10-24,0.014598698123669743
2025-10-27,0.003612389527142799
2025-10-28,-0.00013959673858707873
2025-10-29,-0.0036651130567144593
2025-10-30,-0.013139160886519962
2025-10-31,0.0
