Congress,Committee code,ID #,Name,Maj/Min,Rank Within Party Status,Party,Date of Assignment,Date of Termination,Senior Party Member,Committee Seniority,Committee Period of Service,Committee status at end of this Congress,Committee continuity of assignment in next Congress,Appointment Citation,Committee Name,State,CD,State Name,Notes,,,,,,,,,
112,106,21130,"Schilling, Bobby",1,27,200,1/11/11,1/3/13,0,1,2,1,0,HRES33,Armed Services,21,17,IL,Defeated for reelection,,,,,,,,,
112,106,21153,"Runyan, Jon",1,28,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,12,3,NJ,,,,,,,,,,
112,106,21123,"Scott, Austin",1,29,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,44,8,GA,,,,,,,,,,
112,106,21107,"Griffin, Tim",1,30,200,1/11/11,1/3/13,0,1,2,1,2,HRES33,Armed Services,42,2,AR,Transferred to Ways and Means,,,,,,,,,
112,106,21148,"Palazzo, Steven",1,31,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,46,4,MS,,,,,,,,,,
112,106,21119,"West, Allen",1,32,200,1/11/11,1/3/13,0,1,2,1,0,HRES33,Armed Services,43,22,FL,Defeated for reelection,,,,,,,,,
112,106,21192,"Roby, Martha",1,33,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,41,2,AL,,,,,,,,,,
112,106,21193,"Brooks, Mo",1,34,200,1/11/11,1/3/13,0,1,2,1,1,HRES33,Armed Services,41,5,AL,,,,,,,,,,
112,106,21133,"Young, Todd",1,35,200,1/11/11,1/3/13,0,1,2,1,2,HRES33,Armed Services,22,9,IN,Transferred to Ways and Means,,,,,,,,,
112,106,29768,"Smith, Adam",2,1,100,1/4/11,1/3/13,21,8,2,1,1,HRES7,Armed Services,73,9,WA,,,,,,,,,,
112,106,29764,"Reyes, Silvestre",2,2,100,1/18/11,1/3/13,0,8,2,1,0,HRES39,Armed Services,49,16,TX,Defeated for renomination,,,,,,,,,
112,106,29709,"Sanchez, Loretta",2,3,100,1/18/11,1/3/13,0,8,2,1,1,HRES39,Armed Services,71,47,CA,,,,,,,,,,
112,106,29746,"McIntyre, Mike",2,4,100,1/18/11,1/3/13,0,8,2,1,1,HRES39,Armed Services,47,7,NC,,,,,,,,,,
112,106,29777,"Brady, Robert A.",2,5,100,1/18/11,1/3/13,0,8,2,1,1,HRES39,Armed Services,14,1,PA,,,,,,,,,,
112,106,29132,"Andrews, Robert E.",2,6,100,1/18/11,1/3/13,0,4,4,1,1,HRES39,Armed Services,12,1,NJ,,,,,,,,,,
112,106,20108,"Davis, Susan",2,7,100,1/18/11,1/3/13,0,6,2,1,1,HRES39,Armed Services,71,53,CA,,,,,,,,,,
112,106,20136,"Langevin, James",2,8,100,1/18/11,1/3/13,0,3,4,1,1,HRES39,Armed Services,5,2,RI,,,,,,,,,,
112,106,20145,"Larsen, Rick",2,9,100,1/18/11,1/3/13,0,6,2,1,1,HRES39,Armed Services,73,2,WA,,,,,,,,,,
112,106,15019,"Cooper, Jim",2,10,100,1/18/11,1/3/13,0,5,2,1,1,HRES39,Armed Services,54,5,TN,,,,,,,,,,
112,106,70701,"Bordallo, Madeleine Z. .",2,11,100,1/18/11,1/3/13,0,5,2,1,1,HRES39,Armed Services,91,79,GU,,,,,,,,,,
112,106,20706,"Courtney, Joe",2,12,100,1/18/11,1/3/13,0,3,2,1,1,HRES39,Armed Services,1,2,CT,,,,,,,,,,
112,106,20720,"Loebsack, David",2,13,100,1/18/11,1/3/13,0,3,2,1,1,HRES39,Armed Services,31,2,IA,,,,,,,,,,
112,106,20701,"Giffords, Gabrielle",2,14,100,1/18/11,1/25/12,0,3,2,8,0,HRES39,Armed Services,61,8,AZ,"Resigned for personal health concerns, 1/25/12",,,,,,,,,
112,106,20754,"Tsongas, Nicola S. (Niki)",2,15,100,1/18/11,1/3/13,0,3,2,1,1,HRES39,Armed Services,3,5,MA,,,,,,,,,,
112,106,20920,"Pingree, Chellie",2,16,100,1/18/11,1/3/13,0,2,2,1,2,HRES39,Armed Services,2,1,ME,Transferred to Appropriations,,,,,,,,,
112,106,20938,"Kissell, Larry",2,17,100,1/18/11,1/3/13,0,2,2,1,0,HRES39,Armed Services,47,8,NC,Defeated for reelection,,,,,,,,,
112,106,20930,"Heinrich, Martin",2,18,100,1/18/11,1/3/13,0,2,2,1,0,HRES39,Armed Services,66,1,NM,Elected to U.S. Senate,,,,,,,,,
112,106,20957,"Owens, Bill",2,19,100,1/18/11,1/3/13,0,2,2,1,1,HRES39,Armed Services,13,23,NY,,,,,,,,,,
112,106,20958,"Garamendi, John J.",2,20,100,1/18/11,1/3/13,0,2,2,1,1,HRES39,Armed Services,71,10,CA,,,,,,,,,,
112,106,20960,"Critz, Mark S.",2,21,100,1/18/11,1/3/13,0,1,2,1,0,HRES39,Armed Services,14,12,PA,Defeated for reelection,,,,,,,,,
112,106,20343,"Ryan, Timothy J.",2,22,100,1/18/11,1/3/13,0,1,4,1,2,HRES39,Armed Services,24,17,OH,Transferred to Appropriations,,,,,,,,,
112,106,20329,"Ruppersberger, C.A. Dutch",2,23,100,1/18/11,6/25/12,0,1,4,3,2,HRES39,Armed Services,52,2,MD,"Left committee for no other reason, H3978",,,,,,,,,
112,106,20712,"Johnson, Henry C. ""Hank"", Jr.",2,24,100,1/18/11,1/3/13,0,4,2,1,1,HRES39,Armed Services,44,4,GA,,,,,,,,,,
112,106,20708,"Castor, Kathy",2,25,100,1/18/11,1/3/13,0,1,4,1,2,HRES39,Armed Services,43,11,FL,,,,,,,,,,
112,106,20740,"Sutton, Betty",2,26,100,1/18/11,1/3/13,0,1,2,1,0,HRES39,Armed Services,24,13,OH,Defeated for reelection,,,,,,,,,
112,106,21124,"Hanabusa, Colleen",2,27,100,1/18/11,1/3/13,0,1,4,1,1,HRES39,Armed Services,82,1,HI,,,,,,,,,,
112,106,21194,"Hochul, Kathleen C.",5,28,100,7/28/11,1/3/13,0,1,2,1,0,HRES377,Armed Services,13,26,NY,"Replaced Harman; elected in special election, to replace Chris Lee, 5/24/11; defeated for reelection",,,,,,,,,
112,106,20762,"Speier, Karen Lorraine Jacqueline (Jackie)",7,1,100,2/16/12,1/3/13,0,1,2,1,1,HRES553,Armed Services,71,12,CA,"Transferred from Committee on Homeland Security, H886",,,,,,,,,
112,106,21199,"Barber, Ron",7,2,100,6/26/12,1/3/13,0,1,2,1,1,HRES707,Armed Services,61,8,AZ,Replaced Ruppersberger; late appointment,,,,,,,,,
112,113,29301,"Bachus, Spencer",1,1,200,1/4/11,1/3/13,11,10,2,1,1,HRES6,Financial Services,41,6,AL,,,,,,,,,,
112,113,29375,"King, Peter T.",1,2,200,1/11/11,1/3/13,0,3,4,1,1,HRES33,Financial Services,13,3,NY,,,,,,,,,,
112,113,29321,"Royce, Ed",1,3,200,1/11/11,1/3/13,0,9,2,1,1,HRES33,Financial Services,71,40,CA,,,,,,,,,,
112,113,29393,"Lucas, Frank D.",1,4,200,1/11/11,1/3/13,0,9,2,1,1,HRES33,Financial Services,53,3,OK,,,,,,,,,,
112,113,14290,"Paul, Ron",1,5,200,1/11/11,1/3/13,0,8,5,1,0,HRES33,Financial Services,49,14,TX,Did not seek reelection,,,,,,,,,
112,113,29349,"Manzullo, Donald",1,6,200,1/11/11,1/3/13,0,8,2,1,0,HRES33,Financial Services,21,16,IL,Defeated for renomination,,,,,,,,,
112,113,29546,"Jones, Walter B., Jr.",1,7,200,1/11/11,1/3/13,0,8,2,1,2,HRES33,Financial Services,47,3,NC,Left for no other,,,,,,,,,
112,113,29912,"Biggert, Judy.",1,8,200,1/11/11,1/3/13,0,7,2,1,0,HRES33,Financial Services,21,13,IL,Did not seek reelection,,,,,,,,,
